0.0444,0.2463,0.1473,0.0148,0.0292,0.3454,0.2153,0.0011,0.0014,0.0586,0.0000,0.0000,0.0000
0.2698,0.2635,0.1110,0.0151,0.1974,0.1662,0.0298,0.0314,0.0517,0.0134,0.0001,0.0001,0.0054
0.1926,0.0522,0.0254,0.1052,0.0038,0.0111,0.0417,0.0004,0.0014,0.0199,0.0000,0.0000,0.0000
0.1253,0.0574,0.1052,0.0318,0.0359,0.0097,0.1316,0.0002,0.0009,0.1465,0.0000,0.0001,0.0050
0.0272,0.0987,0.0343,0.0663,0.0495,0.1414,0.2113,0.0156,0.1977,0.0416,0.0029,0.0021,0.0232
0.2467,0.1393,0.0216,0.0503,0.0832,0.3247,0.0774,0.0090,0.1898,0.0446,0.0013,0.0026,0.0175
0.0718,0.0172,0.0227,0.1316,0.0536,0.0887,0.0460,0.0608,0.0303,0.0240,0.0017,0.0021,0.0217
0.0765,0.0314,0.0900,0.0589,0.1297,0.1438,0.0714,0.0167,0.0989,0.1372,0.0184,0.0167,0.0477
0.0176,0.1098,0.0102,0.0799,0.1825,0.1412,0.0216,0.0673,0.1526,0.0762,0.0047,0.0805,0.1238
0.0164,0.0040,0.0098,0.0184,0.0394,0.0285,0.0232,0.0824,0.0614,0.0355,0.0061,0.0287,0.0299
0.0141,0.0018,0.0031,0.0075,0.0269,0.0145,0.0094,0.0480,0.0184,0.0157,0.0048,0.1637,0.0311
0.0028,0.0001,0.0002,0.0020,0.0052,0.0022,0.0005,0.0171,0.0779,0.0832,0.1022,0.2453,0.0872
0.0022,0.0000,0.0002,0.0011,0.0047,0.0019,0.0003,0.0161,0.0000,0.0328,0.0917,0.0086,0.0321
