0.0625 ,0.3469 ,0.2075 ,0.0208 ,0.0370 ,0.4375 ,0.2727 ,0.0000 ,0.0000 ,0.0667 ,0.0000 ,0.0000 ,0.0000 
0.3800 ,0.3711 ,0.1563 ,0.0213 ,0.2500 ,0.2105 ,0.0000 ,0.0357 ,0.0588 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
0.2712 ,0.0735 ,0.0357 ,0.1481 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
0.1765 ,0.0000 ,0.1481 ,0.0000 ,0.0455 ,0.0000 ,0.1667 ,0.0000 ,0.0000 ,0.1667 ,0.0000 ,0.0000 ,0.0000 
0.0345 ,0.1250 ,0.0435 ,0.0000 ,0.0720 ,0.2059 ,0.3077 ,0.0000 ,0.2500 ,0.0526 ,0.0000 ,0.0000 ,0.0000 
0.3125 ,0.1765 ,0.0000 ,0.0000 ,0.1212 ,0.4727 ,0.0000 ,0.0000 ,0.2400 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
0.0909 ,0.0000 ,0.0000 ,0.1667 ,0.0000 ,0.0000 ,0.0000 ,0.0769 ,0.0000 ,0.0303 ,0.0000 ,0.0000 ,0.0000 
0.0870 ,0.0357 ,0.0000 ,0.0000 ,0.0000 ,0.1818 ,0.0000 ,0.0235 ,0.1389 ,0.1928 ,0.0000 ,0.0000 ,0.0000 
0.0000 ,0.1250 ,0.0000 ,0.0909 ,0.2308 ,0.1786 ,0.0000 ,0.0946 ,0.2143 ,0.1071 ,0.0000 ,0.1000 ,0.1538 
0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0294 ,0.1158 ,0.0862 ,0.0498 ,0.0000 ,0.0357 ,0.0000 
0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0068 ,0.2319 ,0.0441 
0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0968 ,0.1034 ,0.1447 ,0.3475 ,0.1235 
0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0408 ,0.1299 ,0.0122 ,0.0455 
